T PL,H PL,verb,verb - main semantic class,verb - tense,verb - factive/nonfactive,complement - tense,T - negation,T - type of sentence,"GOLD <T,H>"
"W Stanach Zjednoczonych stwierdzono , że przyczyną powstania aż 90 proc. wykrywanych nowotworów skóry było nadmierne opalanie się pacjentów.", przyczyną powstania aż 90 proc. wykrywanych nowotworów skóry było nadmierne opalanie się pacjentów.,"stwierdzić, że_",mówienia,past,NF,past,False,indywidualne,N
"Proszę pamiętać, że momenty, w których one były już ""wolne"" , przeżywaliśmy już od listopada, bo bez przerwy ktoś mówił, że one są wolne.",one są wolne.,"mówić, że_",mówienia,past,NF,present,False,indywidualne,N
"Jeżeli pani spodziewa się, że ze względu na swoją przeszłość, mówię o pani pobycie w zakładzie psychiatrycznym, nic pani nie grozi, to muszę wyjaśnić, że...",ze względu na swoją przeszłość nic pani nie grozi,"spodziewać się, że_",epistemiczny,present,NF,present,False,warunkowe,N
"Załóżmy, że będziesz walczył o Agnieszkę. ", będziesz walczył o Agnieszkę. ,"zakładać, że_",epistemiczny,,NF,future,False,performatyw,N
"Huk opowiada, że do organizacji poparcia dla Bieli wykorzystał swoje kontakty i doświadczenie z czasów, gdy przygotowywał Msze za Ojczyznę.","do organizacji poparcia dla Bieli wykorzystał swoje kontakty i doświadczenie z czasów, gdy przygotowywał Msze za Ojczyznę.","opowiadać, że_",mówienia,present,NF,past,False,indywidualne,N
"I myślę, że całkiem możliwe, że chodzi o fizykę. ","całkiem możliwe, że chodzi o fizykę. ","myśleć, że_",epistemiczny,present,NF,present,False,indywidualne,N
 wiecie że mi się po drugiej kawie zaczyna chcieć spać jak wypiję drugą kawę ?,mi się po drugiej kawie zaczyna chcieć spać jak wypiję drugą kawę ?,"wiedzieć, że_",epistemiczny,present,F,present,False,indywidualne,E
"Strażnicy zdają sobie sprawę, że fizyczne zabezpieczenie tego terenu jest niemożliwe.",fizyczne zabezpieczenie tego terenu jest niemożliwe.,"zdawać sobie sprawę, że_",epistemiczny,present,F,present,False,indywidualne,E
"Najmniejszy błąd podczas takiej korekty sprawia, że zmiany na zdjęciu są nieodwracalne. ",zmiany na zdjęciu są nieodwracalne. ,"sprawiać, że_",inne,present,NF,past,False,indywidualne,E
"Nie wykluczam, że za drugim razem zapomniałem, że to był bojkot i napisałem usprawiedliwienie z powodów rodzinnych - powiedział były marszałek Sejmu Ludwik Dorn.",to był bojkot,"zapomnieć, że_",epistemiczny,past,F,past,False,indywidualne,E
"Ponieważ jednak jest jak jest, to należy sądzić, że oznacza ona protoplastę amerykańskich krów",oznacza ona protoplastę amerykańskich krów,"sądzić, że_",epistemiczny,present,NF,present,False,indywidualne,N
"Powiedzieliśmy sobie, że większość internautów zapoznaje się z pierwszymi trzema wynikami wyszukiwania, trzeba dodać: wyników naturalnych.","większość internautów zapoznaje się z pierwszymi trzema wynikami wyszukiwania, trzeba dodać: wyników naturalnych.","powiedzieć, że_",mówienia,past,NF,present,False,indywidualne,N
"I myślisz, że jestem taki głupi i nie wiem, co to jest „Hermann i Dorothea”?!","jestem taki głupi i nie wiem, co to jest „Hermann i Dorothea”?!","myśleć, że_",epistemiczny,present,NF,present,False,pytajne,N
"A warto przypomnieć, że za przekroczenie prędkości do 10 km/godz. kierowca musi zapłacić od 20 do 50 złotych. ",za przekroczenie prędkości do 10 km/godz. kierowca musi zapłacić od 20 do 50 złotych. ,"przypomnieć komuś, że_",mówienia,present,F,present,False,indywidualne,E
"W przeddzień w ""Gazecie Wyborczej"" ukazał się artykuł ""Solidarożerca"", wypominający, że Gucwiński w stanie wojennym zwalniał z pracy członków komisji zakładowej Solidarności. ",Gucwiński w stanie wojennym zwalniał z pracy członków komisji zakładowej Solidarności. ,"wypominać, że_",mówienia,past,F,past,False,indywidualne,E
tam jeszcze mówi że po prostu nie ma pieniędzy , po prostu nie ma pieniędzy ,"mówić, że_",mówienia,present,NF,present,False,indywidualne,N
"Sądy nie zajmują się zmuszaniem pracowników do ich ujawniania, a czasami nawet twierdzą, że nie są od tego, aby dochodzić prawdy."," nie są od tego, aby dochodzić prawdy.","twierdzić, że_",mówienia,present,NF,present,False,indywidualne,N
"Aby było wszystko jasne, chciałem możliwie stanowczo podkreślić, że wszystko, co w tych sprawach piszę, nie jest żadnym rozrachunkiem z przeszłością.","wszystko, co w tych sprawach piszę, nie jest żadnym rozrachunkiem z przeszłością.","podkreślić, że_",mówienia,past,NF,present,False,performatyw,N
" Myślę, że może zostać powołanych do dziesięciu takich wydziałów regionalnych.",może zostać powołanych do dziesięciu takich wydziałów regionalnych.,"myśleć, że_",epistemiczny,present,NF,present,False,indywidualne,N
" I przekonują, że wszystkiemu winne coraz wyższe temperatury.",wszystkiemu winne coraz wyższe temperatury.,"przekonywać [kogoś], że_",mówienia,present,NF,inne,False,indywidualne,N
 Powiedział - oznajmiła - że tam na pewno nikt niczego nie rzucał z ciężarówki. ,tam na pewno nikt niczego nie rzucał z ciężarówki. ,"powiedzieć, że_",mówienia,past,NF,past,False,indywidualne,N
"W mieście po cichu liczą jednak, że to tylko asekuracja funduszu.",to tylko asekuracja funduszu.,"liczyć, że_",epistemiczny,present,NF,inne,False,indywidualne,N
"Ministerstwo z góry zakłada, że wybuchną protesty mieszkańców i ekologów, dlatego wskazuje aż cztery lokalizacje. Przynajmniej jedna z nich powinna wypalić. ","wybuchną protesty mieszkańców i ekologów,","zakładać, że_",epistemiczny,present,NF,future,False,indywidualne,N
"Przypomnijmy, że Victoria zdecydowała się grać w grupie łódzkiej, gdzie jest 14 drużyn, rezygnując z rywalizacji w grupie zespołów z naszego regionu, których jest zaledwie osiem. ","Victoria zdecydowała się grać w grupie łódzkiej, gdzie jest 14 drużyn, rezygnując z rywalizacji w grupie zespołów z naszego regionu, których jest zaledwie osiem. ","przypomnieć komuś, że_",mówienia,,F,past,False,performatyw,E
"Jak można nawet podejrzewać, że w czasach rządów AWS my, posłowie eseldowskiej opozycji, mogliśmy być w stanie załatwić z szefami Colloseum jakieś interesy!"," w czasach rządów AWS my, posłowie eseldowskiej opozycji, mogliśmy być w stanie załatwić z szefami Colloseum jakieś interesy!","podejrzewać, że_",epistemiczny,,NF,past,False,pytajne,N
"Dziś wiemy, że sumeryjska Inana jest jednocześnie syryjską Aszerą, egipską Izydą, grecką Herą i Demeter, a śmierć i zmartwychwstanie bóstwa jest uniwersalnym mitem religijnym, obecnym również w chrześcijaństwie.","sumeryjska Inana jest jednocześnie syryjską Aszerą, egipską Izydą, grecką Herą i Demeter, a śmierć i zmartwychwstanie bóstwa jest uniwersalnym mitem religijnym, obecnym również w chrześcijaństwie.","wiedzieć, że_",epistemiczny,present,F,present,False,indywidualne,E
 bo ja wiem że on to jest co dwie godziny głodny zawsze,on to jest co dwie godziny głodny zawsze,"wiedzieć, że_",epistemiczny,present,F,present,False,indywidualne,E
"Człowiek niezwłocznie podchodzi do lodówki, żeby się zdrowo odżywić, ale zaraz przypomina sobie, że w domu nie ma ani kawałka tofu, sushi czy choćby ogórka na sałatkę.","w domu nie ma ani kawałka tofu, sushi czy choćby ogórka na sałatkę.","przypominać sobie, że_",epistemiczny,present,F,present,False,reguła,N
 ja uważam że stała się. jeśli mówić rzetelnie o tamtych czasach. stała się rzecz którą uważam z perspektywy czasu za głęboko paradoksalną.,stała się. jeśli mówić rzetelnie o tamtych czasach. stała się rzecz którą uważam z perspektywy czasu za głęboko paradoksalną.,"uważać, że_",epistemiczny,present,NF,past,False,indywidualne,N
"Myślę, że panu by się spodobały, bo wszystkie są napisane z wyobraźni i uśmiać też się można, prawdziwa satyra.", panu by się spodobały,"myśleć, że_",epistemiczny,present,NF,inne,False,indywidualne,N
"Policzono, że w tej barwnej kolumnie przejechało 35 powozów. ",w tej barwnej kolumnie przejechało 35 powozów. ,"policzyć, że_",epistemiczny,past,NF,past,False,indywidualne,N
"Uświadomili sobie, że nie podołają.",nie podołają.,"uświadomić sobie, że_",epistemiczny,past,F,future,False,indywidualne,E
"Żałuje, że nie uczestniczyła w spotkaniach z Janem Pawłem II podczas jego pielgrzymek do Polski. ",nie uczestniczyła w spotkaniach z Janem Pawłem II podczas jego pielgrzymek do Polski. ,"żałować, że_",emotywny,present,F,past,False,indywidualne,E
"Grajewski uznał, że nie jest to zbyt dobre miejsce.",nie jest to zbyt dobre miejsce.,"uznać, że_",mówienia,past,NF,present,False,indywidualne,N
andro mi to mówiła że. z Alkiem. oni kurwa założyli. , z Alkiem. oni kurwa założyli. ,"mówić, że_",mówienia,past,NF,past,False,indywidualne,N
"Teraz podczas emisji reklam Polacy opuszczają pokój, w którym jest telewizor (19 proc.) lub przełączają kanał (28 proc.), a tylko 6 proc. z nich przyznaje, że ogląda spoty tak samo jak inne programy.",ogląda spoty tak samo jak inne programy.,"przyznawać, że_",mówienia,present,F,present,False,indywidualne,E
"Związkowcy uważają jednak, że szpital od władz Akademii Medycznej powinno przejąć Ministerstwo Zdrowia. ",szpital od władz Akademii Medycznej powinno przejąć Ministerstwo Zdrowia. ,"uważać, że_",epistemiczny,present,NF,inne,False,indywidualne,N
"Strażnicy zapowiedzieli jednak, że jeśli dziś sytuacja się powtórzy tzn. kupcy nadal będą handlować, to poniosą tego konsekwencje. "," jeśli dziś sytuacja się powtórzy tzn. kupcy nadal będą handlować, to poniosą tego konsekwencje. ","zapowiedzieć, że_",mówienia,past,NF,future,False,indywidualne,N
" Poza tym, wyjaśnij im, że będą DOROŚLI wychowawcy, którzy będą pilnować całe wasze stado i na żadną orgię ani libację, się nie załapiesz."," będą DOROŚLI wychowawcy, którzy będą pilnować całe wasze stado","wyjaśnić, że_",mówienia,,NF,future,False,imperatyw,N
myślę że że tutaj na nastąpiło pewne przewartościowanie,tutaj na nastąpiło pewne przewartościowanie,"myśleć, że_",epistemiczny,present,NF,past,False,indywidualne,N
"Wiadomo, że Żydzi nie wszystkiemu winni, ale obiad zjeść trzeba! ",Żydzi nie wszystkiemu winni,"wiadomo, że_",epistemiczny,,F,inne,False,indywidualne,E
"Nie była przy ich przywitaniu, ale wystarczyło rzucić okiem, aby stwierdzić, że nie wypadło ono najlepiej.",nie wypadło ono najlepiej.,"stwierdzić, że_",mówienia,past,NF,past,False,indywidualne,N
"Ale wierzę, że w końcu będzie nam się żyło lepiej, że moje dzieci będą bezpieczne.",moje dzieci będą bezpieczne.,"wierzyć, że_",epistemiczny,present,NF,future,False,indywidualne,N
"Pragnę oświadczyć, że oczywiście nie zgadzam się z merytorycznym wywodem pana senatora, ale chcę też poinformować go, że w sprawie Ośrodka Doradztwa Rolniczego w Lesznie otrzymałem odpowiedź od ministra rolnictwa, który podziela mój pogląd na temat oceny pracy wspomnianego ODR. ",w sprawie Ośrodka Doradztwa Rolniczego w Lesznie otrzymałem odpowiedź od ministra rolnictwa,"poinformować, że_",mówienia,present,NF,past,False,performatyw,N
"Okazało się jednak, że bractwom odmawia się praw do tych majątków, gdyż stwierdzono, że nie mają one nic wspólnego z rozwiązanymi bractwami. ", nie mają one nic wspólnego z rozwiązanymi bractwami. ,"stwierdzić, że_",mówienia,past,NF,present,False,indywidualne,N
"obawiam się, że mógłbym wypaść przy nich blado! ",mógłbym wypaść przy nich blado!,"obawiam się, że_",epistemiczny,present,NF,future,False,indywidualne,N
"Wystarczy, że zarejestruje działalność gospodarczą i wpisze się do ewidencji.",zarejestruje działalność gospodarczą i wpisze się do ewidencji.,"wystarczy, że_",inne,future,NF,future,False,indywidualne,N
"Gdy jestem przekonany, że osiągnięcie celu nie zależy ode mnie, ale np. od losu lub życzliwości innych ludzi - czeka mnie porażka. ",osiągnięcie celu nie zależy ode mnie,"być przekonanym, że_",epistemiczny,present,NF,present,False,reguła,N
"Czasami jednak widzę, że zdanie wytrzymało próbę, jakby wyjęte z ich kanonu, z Zapisków albo Opowiadań - i wtedy czuję prawdziwą rozkosz, jak chciał Es, znak prawidłowej lektury, mrowiącej w krzyżu - chwilowa ulga, nagroda w ciągłej pogoni za niewyrażonym.","zdanie wytrzymało próbę,","[e] widzieć, że_",epistemiczny,present,F,past,False,indywidualne,E
"Zresztą, w celi wcale nie czuło się, że jest maj.",jest maj.,"[p] czuć, że_",percepcyjny,past,F,present,True,indywidualne,E
" W niektórych stadłach ukrywa się przed współmałżonkami, że - poza wspólnym rachunkiem bankowym - ma się jeszcze jedno, osobne konto. "," poza wspólnym rachunkiem bankowym - ma się jeszcze jedno, osobne konto. ","nie ukrywać, że_",inne,present,NF,present,False,indywidualne,E
" On naprawdę wierzył, że ""to dobre, co na kresach"".","to dobre, co na kresach.","wierzyć, że_",epistemiczny,past,NF,inne,False,indywidualne,N
"Tego, że będą wolne, można się było spodziewać; my już od trzech tygodni mieliśmy takie wiadomości. ",będą wolne,"spodziewać się, że_",epistemiczny,past,NF,present,False,indywidualne,E
Dodam że mieszkam na wsi i wypady do kina czy różne warsztaty odpadają... ,mieszkam na wsi i wypady do kina czy różne warsztaty odpadają... ,"dodać, że_",mówienia,future,NF,present,False,indywidualne,N
"Wiadomo, że tego nie zrobi, bo go na to nie stać.","tego nie zrobi,","wiadomo, że_",epistemiczny,present,F,past,False,indywidualne,E
"Ludzie śmieją się, że sprawa ich wychodków trafiła aż do Warszawy i marzą o własnych łazienkach w mieszkaniach.", sprawa ich wychodków trafiła aż do Warszawy ,"śmiać się [z tego], że_",mówienia,present,F,past,False,indywidualne,E
"W 1984 r. do Polski przyszła moda na magnez: w pigułkach miał wzmacniać ludzi, jako dodatek do nawozów miał sprawić, że marchew będzie rosła jak na drożdżach.", marchew będzie rosła jak na drożdżach.,"sprawiać, że_",inne,past,NF,future,False,indywidualne,N
"Myśli, że robi dobrze, ale tak naprawdę szkodzi.",robi dobrze,"myśleć, że_",epistemiczny,present,NF,future,False,indywidualne,C
"Ale mieszkańcy osiedla twierdzą, że nie jest. ",nie jest. ,"twierdzić, że_",mówienia,present,NF,present,False,indywidualne,N
"Uzależnionemu uświadamia się, że jest bezsilny wobec hazardu. ",jest bezsilny wobec hazardu. ,"uświadamiać komuś, że_",mówienia,present,F,present,False,indywidualne,E
"Coś mi się wydaje, że facet walczy o jakieś swoje ambicje, o to, żeby za wszelką cenę postawić na swoim i utrzymać się na stanowisku, a nie o żadną tam tolerancję.","facet walczy o jakieś swoje ambicje,","wydaje się komuś, że_",epistemiczny,present,NF,present,False,indywidualne,N
"Zdołał jedynie ustalić, iż system oparty jest na szachownicy szyfrującej i że klucze zmienia się codziennie. ",klucze zmienia się codziennie. ,"ustalić [na podstawie czegoś], że_",epistemiczny,past,NF,present,False,indywidualne,E
"Pytanie brzmi: czy mogę o sobie powiedzieć, że nadal jestem dobrym człowiekiem?",nadal jestem dobrym człowiekiem?,"powiedzieć, że_",mówienia,present,NF,present,False,pytajne,N
"Jednak jej administrator zapewnił nas, że mają wykupione ubezpieczenie.",mają wykupione ubezpieczenie.,"zapewnić, że_",mówienia,past,NF,present,False,indywidualne,N
"Poza tym, żebym zrozumiał, że ona niewiele może.",ona niewiele może.,"zrozumieć, że_",epistemiczny,past,F,present,False,indywidualne,E
"Przekazują, że trzeba mieć szacunek dla wyborów dziecka.",trzeba mieć szacunek dla wyborów dziecka.,"przekazywać, że_",mówienia,present,NF,inne,False,indywidualne,N
"Trzeba zauważyć, że na trasie dożynkowego orszaku wiele posesji zostało udekorowanych bukietami kwiatów, kolorowymi wstążkami.","na trasie dożynkowego orszaku wiele posesji zostało udekorowanych bukietami kwiatów, kolorowymi wstążkami.","[e] zauważyć, że_",epistemiczny,,F,past,False,indywidualne,E
"Reagujemy w takich przypadkach zdecydowanie, ale wierzymy jednocześnie, że polski wydawca działał nie tyle z premedytacją, ile po prostu popełnił błąd - mówi Kański.","polski wydawca działał nie tyle z premedytacją, ile po prostu popełnił błąd ","wierzyć, że_",epistemiczny,present,NF,past,False,indywidualne,N
"Zachował on zresztą swoje znaczenie jeszcze po przyjęciu chrześcijaństwa, bo wiemy, że dziecięce włosy Bolesława Chrobrego zostały jako szczególny dar przesłane do Rzymu. ",dziecięce włosy Bolesława Chrobrego zostały jako szczególny dar przesłane do Rzymu. ,"wiedzieć, że_",epistemiczny,present,F,past,False,indywidualne,E
"Teraz widzę, że to bez sensu. ", to bez sensu. ,"[e] widzieć, że_",epistemiczny,present,F,inne,False,indywidualne,E
"Clover przechrzczono na Kansas, gdyż uznano, że taki szyld będzie bardziej właściwy dla zespołu pochodzącego z tego właśnie stanu.",taki szyld będzie bardziej właściwy dla zespołu pochodzącego z tego właśnie stanu.,"uznać, że_",epistemiczny,,NF,future,False,indywidualne,N
"Sąd sprawę oddalił, argumentując, że zamiast czekać na łaskawość odbiorców powinniśmy po prostu wodę odciąć – wyjaśnia prezes.",zamiast czekać na łaskawość odbiorców powinniśmy po prostu wodę odciąć ,"argumentować, że_",mówienia,past,NF,inne,False,indywidualne,N
"W ciekawych badaniach przeprowadzonych w USA Peter Newman i Jeff Kenworthy udowodnili, że przy gęstości zaludnienia miast 1,5 tys. na km kw. statystyczny mieszkaniec pokonuje codziennie 11 km, przy 5 tys. - 4,5 km, a przy 16 tys. - zaledwie 1,5 km. "," przy gęstości zaludnienia miast 1,5 tys. na km kw. statystyczny mieszkaniec pokonuje codziennie 11 km, przy 5 tys. - 4,5 km, a przy 16 tys. - zaledwie 1,5 km. ","udowodnić, że_",mówienia,past,NF,present,False,indywidualne,E
"A nie sądzi pan, że prezydentowi będzie łatwo zawetować tę ustawę, skoro nawet tacy posłowie - bardzo opozycyjni - jak Leszek Piotrowski z AWS, apelują do prezydenta, powołując się na stare znajomości: »Olek zawetuj tę ustawę«?","prezydentowi będzie łatwo zawetować tę ustawę, skoro nawet tacy posłowie - bardzo opozycyjni - jak Leszek Piotrowski z AWS, apelują do prezydenta, powołując się na stare znajomości: »Olek zawetuj tę ustawę«?","sądzić, że_",epistemiczny,present,NF,future,True,pytajne,N
"Dowiedzieliśmy się, że kobieta, w której mieszkaniu doszło do pożaru niedawno się tam przeprowadziła.","kobieta, w której mieszkaniu doszło do pożaru niedawno się tam przeprowadziła.","dowiedzieć się, że_",epistemiczny,past,F,past,False,indywidualne,E
nie żałuje pani że już mówiła pani o studiach medycznych że pracy zawo zawodowej w tym kierunku w yy no ciężko by było pogodzić prawda przy byciu mamą dla tylu dzieci i to dzieci z problemami ,pracy zawo zawodowej w tym kierunku w yy no ciężko by było pogodzić prawda przy byciu mamą dla tylu dzieci i to dzieci z problemami ,"mówić, że_",mówienia,present,NF,inne,False,indywidualne,N
"Dodać muszę, że te oferty były lepsze niż oferty Włókniarza, które otrzymywałem wcześniej.", te oferty były lepsze niż oferty Włókniarza,"dodać, że_",mówienia,present,NF,past,False,indywidualne,N
to co wspomniałam to że mówimy o tych pogrzebach ,mówimy o tych pogrzebach ,"wspomnieć, że1_",mówienia,past,NF,present,False,indywidualne,N
sądzę że . prowokacja przeniosła się troszkę na inne. rejony.,prowokacja przeniosła się troszkę na inne. rejony.,"sądzić, że_",epistemiczny,present,NF,past,False,indywidualne,N
"jest głucha lub głuchoniema, notariusz jest obowiązany przekonać się, że treść czynności jest jej dokładnie znana i zrozumiała, z tym że notariusz może przywołać do czynności biegłego,",treść czynności jest jej dokładnie znana i zrozumiała,"przekonać się, że_",epistemiczny,present,F,present,False,reguła,N
"Ale opowiadała, że ojcem jej najmłodszego dziecka jest poseł, a inny działacz próbował usunąć jej ciążę za pomocą zastrzyku. ",inny działacz próbował usunąć jej ciążę za pomocą zastrzyku. ,"opowiadać, że_",mówienia,past,NF,past,False,indywidualne,N
"Pragnę państwa uprzedzić zupełnie otwarcie, że każdy, kto opublikuje choćby słowo na ten temat, zostanie oskarżony o zdradę państwa i powędruje na 25 lat w miejsce, gdzie będzie mógł przemyśleć swoje zachowanie. "," każdy, kto opublikuje choćby słowo na ten temat, zostanie oskarżony o zdradę państwa i powędruje na 25 lat w miejsce, gdzie będzie mógł przemyśleć swoje zachowanie. ","uprzedzić, że_",mówienia,present,F,future,False,performatyw,E
"Mówi się też o tym, że pobyt w pobliżu tej starej zamkowej baszty wzmacnia męską potencję.",pobyt w pobliżu tej starej zamkowej baszty wzmacnia męską potencję.,"mówić, że_",mówienia,present,NF,present,False,indywidualne,N
 i myślę że ta sytuacja powinna wskazać partiom politycznym które są w sejmie że być może warto jednak pomyśleć o zmianie konstytucji w tym aspekcie,być może warto jednak pomyśleć o zmianie konstytucji w tym aspekcie,"wskazywać, że_",mówienia,present,NF,inne,False,indywidualne,N
"Powiedziałem, że mam w dupie ich składki i że do jasnej cholery nie życzę sobie...",mam w dupie ich składki i że do jasnej cholery nie życzę sobie...,"powiedzieć, że_",mówienia,past,NF,present,False,indywidualne,N
"Często mówiono mi na dworze , że wielekroć małe dzieci karmione są i chowane przez niedźwiedzie, których jest wiele w litewskich lasach. ",wielekroć małe dzieci karmione są i chowane przez niedźwiedzie,"mówić, że_",mówienia,past,NF,present,False,indywidualne,N
"Wiem tylko, że są znakomite, ktokolwiek je stworzył - odpowiedział przytomnie Trazyllus.","są znakomite, ","wiedzieć, że_",epistemiczny,present,F,present,False,indywidualne,E
"Sam się przekonasz, że nie możemy ich oddać Syryjczykom", nie możemy ich oddać Syryjczykom,"przekonać się, że_",epistemiczny,future,F,present,False,indywidualne,E
"Od tej chwili zacząłem jednak baczniej przyglądać się otoczeniu, gdyż i mnie wydawało się czasem przez mgnienie, że niektóre sceny już przeżyłem, niektóre miejsca widziałem"," niektóre sceny już przeżyłem, niektóre miejsca widziałem","wydaje się komuś, że_",epistemiczny,past,NF,past,False,indywidualne,N
"Zrozumieli, że cezar tym razem przestał żartować ",cezar tym razem przestał żartować ,"zrozumieć, że_",epistemiczny,past,F,past,False,indywidualne,E
"w zeznaniach dwóch piłkarzy Świtu (nazwiska nie zostały ujawnione) złożonych przed notariuszem, zawodnicy przyznali, że do próby przekupstwa doszło.",do próby przekupstwa doszło.,"przyznać, że_",mówienia,past,F,past,False,indywidualne,E
"Z daleko idącej korekty trzeba zrezygnować, gdy wiadomo, że pomniejszona wersja portretu znajdzie się w paszporcie. ",pomniejszona wersja portretu znajdzie się w paszporcie. ,"wiadomo, że_",epistemiczny,present,F,future,False,indywidualne,E
"Eksperymenty dowiodły , że ptaki, będące wszak wzrokowcami, preferują czerwień.",preferują czerwień,"dowieść, że_",mówienia,past,NF,present,False,indywidualne,E
"Powiedz cioci, że pieniądze przyszły, tylko nie zdążyłem ich odebrać jeszcze i że jutro rano je wyślę, tak że jutro wieczór albo pojutrze rano będzie je miała.","pieniądze przyszły, tylko nie zdążyłem ich odebrać jeszcze","powiedzieć, że_",mówienia,,NF,past,False,imperatyw,N
"Wielu wydawców twierdzi jednak, że można temu zapobiec, nie przywiązując się do jednego reklamodawcy, a dbając o to, by mieć ich wielu. ","można temu zapobiec, nie przywiązując się do jednego reklamodawcy, a dbając o to, by mieć ich wielu. ","twierdzić, że_",mówienia,present,NF,present,False,indywidualne,N
"Władze w Teheranie cały czas zapewniały, że ich celem jest opanowanie technologii atomowej do celów pokojowych, do czego mają prawo.",ich celem jest opanowanie technologii atomowej do celów pokojowych,"zapewniać, że_",mówienia,past,NF,present,False,indywidualne,N
"Ale wierzę, że w końcu będzie nam się żyło lepiej, że moje dzieci będą bezpieczne.","w końcu będzie nam się żyło lepiej,","wierzyć, że_",epistemiczny,present,NF,future,False,indywidualne,N
"Fredheim stwierdził, że nowe linie mogłyby zatrudnić do 250 osób, a ich kierownictwo traktuje Rygę jako potencjalny, regionalny węzeł komunikacyjny, który obsługiwałby codziennie połączenia z około 12 dużymi miastami Europy Zachodniej i Wschodniej."," nowe linie mogłyby zatrudnić do 250 osób, a ich kierownictwo traktuje Rygę jako potencjalny, regionalny węzeł komunikacyjny, który obsługiwałby codziennie połączenia z około 12 dużymi miastami Europy Zachodniej i Wschodniej.","stwierdzić, że_",mówienia,past,NF,inne,False,indywidualne,N
"Myślę jednak, że zostało to sprecyzowane i nie wolno dokonywać tego rodzaju czynności, z jakimi podobno mieliśmy do czynienia w jednej z kampanii prezydenckich w Polsce - tak przynajmniej donosiły media. ",zostało to sprecyzowane i nie wolno dokonywać tego rodzaju czynności,"myśleć, że_",epistemiczny,present,NF,past,False,indywidualne,N
" Mówię ci, że tak.",tak.,"mówić, że_",mówienia,present,NF,inne,False,indywidualne,N
"mam nadzieję, że ci się tutaj spodoba i będziesz często a nawet bardzo często odwiedzać te forum. ",ci się tutaj spodoba i będziesz często a nawet bardzo często odwiedzać te forum. ,"mieć nadzieję, że_",epistemiczny,present,NF,future,False,indywidualne,N
"Nie powiem, że koleżanka mi się nie podoba, bo wręcz przeciwnie, ale to moja dobra koleżanka, raczej nie myślałem o niczym więcej, a wiem, że ona i tak wszystko potem zwali na to, że była pijana.","ona i tak wszystko potem zwali na to, że była pijana.","wiedzieć, że_",epistemiczny,present,F,future,False,indywidualne,E
"Jak strajkujemy, to nam wciskają, że kraj jest zniszczony, że nie ma pieniędzy.", kraj jest zniszczony,"wciskać, że_",mówienia,present,NF,present,False,indywidualne,C
"Z raportu o stanie lecznictwa nerkozastępczego wynika, że w całej Polsce brakuje stacji dializ. ", w całej Polsce brakuje stacji dializ. ,"wynikać, że_",epistemiczny,present,NF,present,False,indywidualne,N
Ani że na progu stanął właśnie Romanyczko., na progu stanął właśnie Romanyczko.,"domyślić się, że_",epistemiczny,past,F,past,False,indywidualne,E
"Jedna z tych dróg podkreśla, że od września 1939 roku, tu w Kraju Warty, byliśmy mieszkańcami Trzeciej Rzeszy. ","od września 1939 roku, tu w Kraju Warty, byliśmy mieszkańcami Trzeciej Rzeszy.","podkreślać, że_",mówienia,present,NF,past,False,indywidualne,E
"Warto dodać, że w przypadku dwulatek jest to stałe oprocentowanie w okresie dwóch lat.", w przypadku dwulatek jest to stałe oprocentowanie w okresie dwóch lat.,"dodać, że_",mówienia,present,NF,present,False,indywidualne,N
 ja mam wrażenie że pan. poseł Maciarewicz chce nie tyle walczyć o interesy. nasze w unii europejskiej bo unia jest z jednej strony walką o interesy a z drugiej strony. miejscem osiągania kompromisu. ale ja mam wrażenie że tu chodzi bardziej o walkę z unią europejską niż w unii o to żeby. rozwiązywać nasze polskie problemu i nasze wspólne europejskie,pan. poseł Maciarewicz chce nie tyle walczyć o interesy. nasze w unii europejskiej ,"mieć wrażenie, że_",epistemiczny,present,NF,present,False,indywidualne,N
"Nie możemy jednak liczyć na to, że gmina pokryje za nas całość ponoszonych kosztów utrzymania mieszkania.",gmina pokryje za nas całość ponoszonych kosztów utrzymania mieszkania.,"liczyć, że_",epistemiczny,present,NF,future,True,indywidualne,N
uważa że od strony piarowskiej to jest świetny pomysł te pochodnie,od strony piarowskiej to jest świetny pomysł te pochodnie,"uważać, że_",epistemiczny,present,NF,present,False,indywidualne,N
"Chce go wyrwać z koła przeznaczenia i dlatego każe mu odejść z domu, przeczuwając jednocześnie, że on ją za to znienawidzi. ",on ją za to znienawidzi. ,"przeczuwać, że_",epistemiczny,present,NF,future,False,indywidualne,N
on powiedział że nie może przyjąć bo ogólnie bo jedzie do domu i w ogóle. ,nie może przyjąć ,"powiedzieć, że_",mówienia,past,NF,present,False,indywidualne,N
"Ja tylko wiem, że jak się ktoś zakocha, to nie może tego tak po prostu... z siebie wyrzucić...","jak się ktoś zakocha, to nie może tego tak po prostu... z siebie wyrzucić...","wiedzieć, że_",epistemiczny,present,F,inne,False,indywidualne,E
"Opracowany przez nowozelandzką firmę sensor wykrywa stopień dojrzałości owoców na bazie analizy wydzielanych przez nie aromatów - zmiany jego koloru z czerwonego na pomarańczowy, a później na żółty sygnalizują, że owoc dojrzał",owoc dojrzał,"coś sygnalizuje, że_",mówienia,present,NF,past,False,reguła,N
